y,zcut,scale,cb,trail,hard
2012,0.698,0.3663,0.3417,0.1318,1.0
2013,0.698,0.4345,0.323,0.1067,1.0
2014,0.698,0.3571,0.2657,0.1161,1.0
2015,0.469,0.4036,0.2513,0.1115,1.0
2016,0.469,0.3919,0.2272,0.1087,0.02
2017,0.469,0.4047,0.181,0.1174,0.02
2018,0.469,0.428,0.1806,0.1167,1.0
2019,0.24,0.4492,0.1525,0.1127,1.0
2020,0.24,0.4416,0.1525,0.1095,1.0
2021,-0.677,0.4393,0.1478,0.1181,1.0
2022,0.469,0.3951,0.1661,0.1121,0.02
2023,0.698,0.4039,0.1641,0.1114,1.0
2024,0.469,0.3987,0.1616,0.107,1.0
2025,0.469,0.3953,0.1581,0.107,1.0
2026,0.698,0.3985,0.1579,0.1114,1.0
